User Card 1 , User Card 2, Dealer Card, Choice, Frequency
2 of Diamonds , 3 of Diamonds , 5 of Diamonds , 1110 , -1252
2 of Diamonds , 3 of Diamonds , 6 of Diamonds , 0 , 196
2 of Diamonds , 3 of Diamonds , 6 of Diamonds , 10 , 78
2 of Diamonds , 3 of Diamonds , 6 of Diamonds , 110 , -106
2 of Diamonds , 3 of Diamonds , 6 of Diamonds , 1110 , -1298
2 of Diamonds , 3 of Diamonds , 7 of Diamonds , 0 , 320
2 of Diamonds , 3 of Diamonds , 7 of Diamonds , 10 , 268
2 of Diamonds , 3 of Diamonds , 7 of Diamonds , 110 , 4
2 of Diamonds , 3 of Diamonds , 7 of Diamonds , 1110 , -1164
2 of Diamonds , 3 of Diamonds , 8 of Diamonds , 0 , 508
2 of Diamonds , 3 of Diamonds , 8 of Diamonds , 10 , 506
2 of Diamonds , 3 of Diamonds , 8 of Diamonds , 110 , 56
2 of Diamonds , 3 of Diamonds , 8 of Diamonds , 1110 , -1256
2 of Diamonds , 3 of Diamonds , 9 of Diamonds , 0 , 712
2 of Diamonds , 3 of Diamonds , 9 of Diamonds , 10 , 712
2 of Diamonds , 3 of Diamonds , 9 of Diamonds , 110 , 136
2 of Diamonds , 3 of Diamonds , 9 of Diamonds , 1110 , -1114
2 of Diamonds , 3 of Diamonds , 10 of Diamonds , 0 , 3564
2 of Diamonds , 3 of Diamonds , 10 of Diamonds , 10 , 3554
2 of Diamonds , 3 of Diamonds , 10 of Diamonds , 110 , 1314
2 of Diamonds , 3 of Diamonds , 10 of Diamonds , 1110 , -4514
2 of Diamonds , 3 of Diamonds , A of Diamonds , 0 , -216
2 of Diamonds , 3 of Diamonds , A of Diamonds , 10 , -146
2 of Diamonds , 3 of Diamonds , A of Diamonds , 110 , -404
2 of Diamonds , 3 of Diamonds , A of Diamonds , 1110 , -1438
2 of Diamonds , 4 of Diamonds , 2 of Clubs , 0 , 172
2 of Diamonds , 4 of Diamonds , 2 of Clubs , 10 , 216
2 of Diamonds , 4 of Diamonds , 2 of Clubs , 110 , -172
2 of Diamonds , 4 of Diamonds , 2 of Clubs , 1110 , -1048
2 of Diamonds , 4 of Diamonds , 3 of Diamonds , 0 , 276
2 of Diamonds , 4 of Diamonds , 3 of Diamonds , 10 , 262
2 of Diamonds , 4 of Diamonds , 3 of Diamonds , 110 , -254
2 of Diamonds , 4 of Diamonds , 3 of Diamonds , 1110 , -1384
2 of Diamonds , 4 of Diamonds , 4 of Clubs , 0 , 196
2 of Diamonds , 4 of Diamonds , 4 of Clubs , 10 , 198
2 of Diamonds , 4 of Diamonds , 4 of Clubs , 110 , -180
2 of Diamonds , 4 of Diamonds , 4 of Clubs , 1110 , -1048
2 of Diamonds , 4 of Diamonds , 5 of Diamonds , 0 , 212
2 of Diamonds , 4 of Diamonds , 5 of Diamonds , 10 , 242
2 of Diamonds , 4 of Diamonds , 5 of Diamonds , 110 , -316
2 of Diamonds , 4 of Diamonds , 5 of Diamonds , 1110 , -1392
2 of Diamonds , 4 of Diamonds , 6 of Diamonds , 0 , 146
2 of Diamonds , 4 of Diamonds , 6 of Diamonds , 10 , 228
2 of Diamonds , 4 of Diamonds , 6 of Diamonds , 110 , -192
2 of Diamonds , 4 of Diamonds , 6 of Diamonds , 1110 , -1380
2 of Diamonds , 4 of Diamonds , 7 of Diamonds , 0 , 300
2 of Diamonds , 4 of Diamonds , 7 of Diamonds , 10 , 336
2 of Diamonds , 4 of Diamonds , 7 of Diamonds , 110 , -182
2 of Diamonds , 4 of Diamonds , 7 of Diamonds , 1110 , -1420
2 of Diamonds , 4 of Diamonds , 8 of Diamonds , 0 , 526
2 of Diamonds , 4 of Diamonds , 8 of Diamonds , 10 , 492
2 of Diamonds , 4 of Diamonds , 8 of Diamonds , 110 , -164
2 of Diamonds , 4 of Diamonds , 8 of Diamonds , 1110 , -1332
2 of Diamonds , 4 of Diamonds , 9 of Diamonds , 0 , 784
2 of Diamonds , 4 of Diamonds , 9 of Diamonds , 10 , 676
2 of Diamonds , 4 of Diamonds , 9 of Diamonds , 110 , -80
2 of Diamonds , 4 of Diamonds , 9 of Diamonds , 1110 , -1274
2 of Diamonds , 4 of Diamonds , 10 of Diamonds , 0 , 3534
2 of Diamonds , 4 of Diamonds , 10 of Diamonds , 10 , 3464
2 of Diamonds , 4 of Diamonds , 10 of Diamonds , 110 , 496
2 of Diamonds , 4 of Diamonds , 10 of Diamonds , 1110 , -5108
2 of Diamonds , 4 of Diamonds , A of Diamonds , 0 , -228
2 of Diamonds , 4 of Diamonds , A of Diamonds , 10 , -248
2 of Diamonds , 4 of Diamonds , A of Diamonds , 110 , -508
2 of Diamonds , 4 of Diamonds , A of Diamonds , 1110 , -1516
2 of Diamonds , 5 of Diamonds , 2 of Clubs , 0 , 276
2 of Diamonds , 5 of Diamonds , 2 of Clubs , 10 , 264
2 of Diamonds , 5 of Diamonds , 2 of Clubs , 110 , -280
2 of Diamonds , 5 of Diamonds , 2 of Clubs , 1110 , -1152
2 of Diamonds , 5 of Diamonds , 3 of Diamonds , 0 , 360
2 of Diamonds , 5 of Diamonds , 3 of Diamonds , 10 , 402
2 of Diamonds , 5 of Diamonds , 3 of Diamonds , 110 , -374
2 of Diamonds , 5 of Diamonds , 3 of Diamonds , 1110 , -1554
2 of Diamonds , 5 of Diamonds , 4 of Diamonds , 0 , 292
2 of Diamonds , 5 of Diamonds , 4 of Diamonds , 10 , 254
2 of Diamonds , 5 of Diamonds , 4 of Diamonds , 110 , -382
2 of Diamonds , 5 of Diamonds , 4 of Diamonds , 1110 , -1432
2 of Diamonds , 5 of Diamonds , 5 of Clubs , 0 , 276
2 of Diamonds , 5 of Diamonds , 5 of Clubs , 10 , 268
2 of Diamonds , 5 of Diamonds , 5 of Clubs , 110 , -180
2 of Diamonds , 5 of Diamonds , 5 of Clubs , 1110 , -1126
2 of Diamonds , 5 of Diamonds , 6 of Diamonds , 0 , 192
2 of Diamonds , 5 of Diamonds , 6 of Diamonds , 10 , 168
2 of Diamonds , 5 of Diamonds , 6 of Diamonds , 110 , -396
2 of Diamonds , 5 of Diamonds , 6 of Diamonds , 1110 , -1458
2 of Diamonds , 5 of Diamonds , 7 of Diamonds , 0 , 302
2 of Diamonds , 5 of Diamonds , 7 of Diamonds , 10 , 290
2 of Diamonds , 5 of Diamonds , 7 of Diamonds , 110 , -298
2 of Diamonds , 5 of Diamonds , 7 of Diamonds , 1110 , -1434
2 of Diamonds , 5 of Diamonds , 8 of Diamonds , 0 , 438
2 of Diamonds , 5 of Diamonds , 8 of Diamonds , 10 , 462
2 of Diamonds , 5 of Diamonds , 8 of Diamonds , 110 , -292
2 of Diamonds , 5 of Diamonds , 8 of Diamonds , 1110 , -1474
2 of Diamonds , 5 of Diamonds , 9 of Diamonds , 0 , 728
2 of Diamonds , 5 of Diamonds , 9 of Diamonds , 10 , 608
2 of Diamonds , 5 of Diamonds , 9 of Diamonds , 110 , -150
2 of Diamonds , 5 of Diamonds , 9 of Diamonds , 1110 , -1462
2 of Diamonds , 5 of Diamonds , 10 of Diamonds , 0 , 3484
2 of Diamonds , 5 of Diamonds , 10 of Diamonds , 10 , 3636
2 of Diamonds , 5 of Diamonds , 10 of Diamonds , 110 , -244
2 of Diamonds , 5 of Diamonds , 10 of Diamonds , 1110 , -5498
2 of Diamonds , 5 of Diamonds , A of Diamonds , 0 , -240
2 of Diamonds , 5 of Diamonds , A of Diamonds , 10 , -234
2 of Diamonds , 5 of Diamonds , A of Diamonds , 110 , -626
2 of Diamonds , 5 of Diamonds , A of Diamonds , 1110 , -1632
2 of Diamonds , 6 of Diamonds , 2 of Clubs , 0 , 246
2 of Diamonds , 6 of Diamonds , 2 of Clubs , 10 , 412
2 of Diamonds , 6 of Diamonds , 2 of Clubs , 110 , -420
2 of Diamonds , 6 of Diamonds , 2 of Clubs , 1110 , -1254
2 of Diamonds , 6 of Diamonds , 3 of Diamonds , 0 , 270
2 of Diamonds , 6 of Diamonds , 3 of Diamonds , 10 , 510
2 of Diamonds , 6 of Diamonds , 3 of Diamonds , 110 , -542
2 of Diamonds , 6 of Diamonds , 3 of Diamonds , 1110 , -1570
2 of Diamonds , 6 of Diamonds , 4 of Diamonds , 0 , 300
2 of Diamonds , 6 of Diamonds , 4 of Diamonds , 10 , 434
2 of Diamonds , 6 of Diamonds , 4 of Diamonds , 110 , -516
2 of Diamonds , 6 of Diamonds , 4 of Diamonds , 1110 , -1604
2 of Diamonds , 6 of Diamonds , 5 of Diamonds , 0 , 304
2 of Diamonds , 6 of Diamonds , 5 of Diamonds , 10 , 510
2 of Diamonds , 6 of Diamonds , 5 of Diamonds , 110 , -486
2 of Diamonds , 6 of Diamonds , 5 of Diamonds , 1110 , -1606
2 of Diamonds , 6 of Diamonds , 6 of Clubs , 0 , 42
2 of Diamonds , 6 of Diamonds , 6 of Clubs , 10 , 220
2 of Diamonds , 6 of Diamonds , 6 of Clubs , 110 , -352
2 of Diamonds , 6 of Diamonds , 6 of Clubs , 1110 , -1172
2 of Diamonds , 6 of Diamonds , 7 of Diamonds , 0 , 246
2 of Diamonds , 6 of Diamonds , 7 of Diamonds , 10 , 404
2 of Diamonds , 6 of Diamonds , 7 of Diamonds , 110 , -600
2 of Diamonds , 6 of Diamonds , 7 of Diamonds , 1110 , -1606
2 of Diamonds , 6 of Diamonds , 8 of Diamonds , 0 , 512
2 of Diamonds , 6 of Diamonds , 8 of Diamonds , 10 , 584
2 of Diamonds , 6 of Diamonds , 8 of Diamonds , 110 , -446
2 of Diamonds , 6 of Diamonds , 8 of Diamonds , 1110 , -1580
2 of Diamonds , 6 of Diamonds , 9 of Diamonds , 0 , 652
2 of Diamonds , 6 of Diamonds , 9 of Diamonds , 10 , 792
2 of Diamonds , 6 of Diamonds , 9 of Diamonds , 110 , -420
2 of Diamonds , 6 of Diamonds , 9 of Diamonds , 1110 , -1542
2 of Diamonds , 6 of Diamonds , 10 of Diamonds , 0 , 3656
2 of Diamonds , 6 of Diamonds , 10 of Diamonds , 10 , 3774
2 of Diamonds , 6 of Diamonds , 10 of Diamonds , 110 , -1278
2 of Diamonds , 6 of Diamonds , 10 of Diamonds , 1110 , -6150
2 of Diamonds , 6 of Diamonds , A of Diamonds , 0 , -252
2 of Diamonds , 6 of Diamonds , A of Diamonds , 10 , 32
2 of Diamonds , 6 of Diamonds , A of Diamonds , 110 , -852
2 of Diamonds , 6 of Diamonds , A of Diamonds , 1110 , -1696
2 of Diamonds , 7 of Diamonds , 2 of Clubs , 0 , 264
2 of Diamonds , 7 of Diamonds , 2 of Clubs , 10 , 484
2 of Diamonds , 7 of Diamonds , 2 of Clubs , 110 , -578
2 of Diamonds , 7 of Diamonds , 2 of Clubs , 1110 , -1258
2 of Diamonds , 7 of Diamonds , 3 of Diamonds , 0 , 308
2 of Diamonds , 7 of Diamonds , 3 of Diamonds , 10 , 692
2 of Diamonds , 7 of Diamonds , 3 of Diamonds , 110 , -742
2 of Diamonds , 7 of Diamonds , 3 of Diamonds , 1110 , -1630
2 of Diamonds , 7 of Diamonds , 4 of Diamonds , 0 , 282
2 of Diamonds , 7 of Diamonds , 4 of Diamonds , 10 , 642
2 of Diamonds , 7 of Diamonds , 4 of Diamonds , 110 , -766
2 of Diamonds , 7 of Diamonds , 4 of Diamonds , 1110 , -1722
2 of Diamonds , 7 of Diamonds , 5 of Diamonds , 0 , 258
2 of Diamonds , 7 of Diamonds , 5 of Diamonds , 10 , 672
2 of Diamonds , 7 of Diamonds , 5 of Diamonds , 110 , -728
2 of Diamonds , 7 of Diamonds , 5 of Diamonds , 1110 , -1702
2 of Diamonds , 7 of Diamonds , 6 of Diamonds , 0 , 76
2 of Diamonds , 7 of Diamonds , 6 of Diamonds , 10 , 548
2 of Diamonds , 7 of Diamonds , 6 of Diamonds , 110 , -734
2 of Diamonds , 7 of Diamonds , 6 of Diamonds , 1110 , -1700
2 of Diamonds , 7 of Diamonds , 7 of Clubs , 0 , 248
2 of Diamonds , 7 of Diamonds , 7 of Clubs , 10 , 404
2 of Diamonds , 7 of Diamonds , 7 of Clubs , 110 , -546
2 of Diamonds , 7 of Diamonds , 7 of Clubs , 1110 , -1282
2 of Diamonds , 7 of Diamonds , 8 of Diamonds , 0 , 444
2 of Diamonds , 7 of Diamonds , 8 of Diamonds , 10 , 690
2 of Diamonds , 7 of Diamonds , 8 of Diamonds , 110 , -648
2 of Diamonds , 7 of Diamonds , 8 of Diamonds , 1110 , -1646
2 of Diamonds , 7 of Diamonds , 9 of Diamonds , 0 , 772
2 of Diamonds , 7 of Diamonds , 9 of Diamonds , 10 , 916
2 of Diamonds , 7 of Diamonds , 9 of Diamonds , 110 , -694
2 of Diamonds , 7 of Diamonds , 9 of Diamonds , 1110 , -1666
2 of Diamonds , 7 of Diamonds , 10 of Diamonds , 0 , 3592
2 of Diamonds , 7 of Diamonds , 10 of Diamonds , 10 , 3980
2 of Diamonds , 7 of Diamonds , 10 of Diamonds , 110 , -2328
2 of Diamonds , 7 of Diamonds , 10 of Diamonds , 1110 , -6496
2 of Diamonds , 7 of Diamonds , A of Diamonds , 0 , -206
2 of Diamonds , 7 of Diamonds , A of Diamonds , 10 , 162
2 of Diamonds , 7 of Diamonds , A of Diamonds , 110 , -968
2 of Diamonds , 7 of Diamonds , A of Diamonds , 1110 , -1772
2 of Diamonds , 8 of Diamonds , 2 of Clubs , 0 , 300
2 of Diamonds , 8 of Diamonds , 2 of Clubs , 10 , 696
2 of Diamonds , 8 of Diamonds , 2 of Clubs , 110 , -740
2 of Diamonds , 8 of Diamonds , 2 of Clubs , 1110 , -1356
2 of Diamonds , 8 of Diamonds , 3 of Diamonds , 0 , 284
2 of Diamonds , 8 of Diamonds , 3 of Diamonds , 10 , 852
2 of Diamonds , 8 of Diamonds , 3 of Diamonds , 110 , -888
2 of Diamonds , 8 of Diamonds , 3 of Diamonds , 1110 , -1768
2 of Diamonds , 8 of Diamonds , 4 of Diamonds , 0 , 260
2 of Diamonds , 8 of Diamonds , 4 of Diamonds , 10 , 774
2 of Diamonds , 8 of Diamonds , 4 of Diamonds , 110 , -986
2 of Diamonds , 8 of Diamonds , 4 of Diamonds , 1110 , -1758
2 of Diamonds , 8 of Diamonds , 5 of Diamonds , 0 , 180
2 of Diamonds , 8 of Diamonds , 5 of Diamonds , 10 , 792
2 of Diamonds , 8 of Diamonds , 5 of Diamonds , 110 , -1010
2 of Diamonds , 8 of Diamonds , 5 of Diamonds , 1110 , -1754
2 of Diamonds , 8 of Diamonds , 6 of Diamonds , 0 , 88
2 of Diamonds , 8 of Diamonds , 6 of Diamonds , 10 , 730
2 of Diamonds , 8 of Diamonds , 6 of Diamonds , 110 , -932
2 of Diamonds , 8 of Diamonds , 6 of Diamonds , 1110 , -1756
2 of Diamonds , 8 of Diamonds , 7 of Diamonds , 0 , 176
2 of Diamonds , 8 of Diamonds , 7 of Diamonds , 10 , 702
2 of Diamonds , 8 of Diamonds , 7 of Diamonds , 110 , -950
2 of Diamonds , 8 of Diamonds , 7 of Diamonds , 1110 , -1712
2 of Diamonds , 8 of Diamonds , 8 of Clubs , 0 , 426
2 of Diamonds , 8 of Diamonds , 8 of Clubs , 10 , 636
2 of Diamonds , 8 of Diamonds , 8 of Clubs , 110 , -678
2 of Diamonds , 8 of Diamonds , 8 of Clubs , 1110 , -1302
2 of Diamonds , 8 of Diamonds , 9 of Diamonds , 0 , 690
2 of Diamonds , 8 of Diamonds , 9 of Diamonds , 10 , 970
2 of Diamonds , 8 of Diamonds , 9 of Diamonds , 110 , -842
2 of Diamonds , 8 of Diamonds , 9 of Diamonds , 1110 , -1718
2 of Diamonds , 8 of Diamonds , 10 of Diamonds , 0 , 3424
2 of Diamonds , 8 of Diamonds , 10 of Diamonds , 10 , 4628
2 of Diamonds , 8 of Diamonds , 10 of Diamonds , 110 , -3322
2 of Diamonds , 8 of Diamonds , 10 of Diamonds , 1110 , -6868
2 of Diamonds , 8 of Diamonds , A of Diamonds , 0 , -258
2 of Diamonds , 8 of Diamonds , A of Diamonds , 10 , 386
2 of Diamonds , 8 of Diamonds , A of Diamonds , 110 , -1144
2 of Diamonds , 8 of Diamonds , A of Diamonds , 1110 , -1788
2 of Diamonds , 9 of Diamonds , 2 of Clubs , 0 , 344
2 of Diamonds , 9 of Diamonds , 2 of Clubs , 10 , 770
2 of Diamonds , 9 of Diamonds , 2 of Clubs , 110 , -904
2 of Diamonds , 9 of Diamonds , 2 of Clubs , 1110 , -1366
2 of Diamonds , 9 of Diamonds , 3 of Diamonds , 0 , 304
2 of Diamonds , 9 of Diamonds , 3 of Diamonds , 10 , 914
2 of Diamonds , 9 of Diamonds , 3 of Diamonds , 110 , -1188
2 of Diamonds , 9 of Diamonds , 3 of Diamonds , 1110 , -1818
2 of Diamonds , 9 of Diamonds , 4 of Diamonds , 0 , 258
2 of Diamonds , 9 of Diamonds , 4 of Diamonds , 10 , 868
2 of Diamonds , 9 of Diamonds , 4 of Diamonds , 110 , -1190
2 of Diamonds , 9 of Diamonds , 4 of Diamonds , 1110 , -1836
2 of Diamonds , 9 of Diamonds , 5 of Diamonds , 0 , 312
2 of Diamonds , 9 of Diamonds , 5 of Diamonds , 10 , 844
2 of Diamonds , 9 of Diamonds , 5 of Diamonds , 110 , -1296
2 of Diamonds , 9 of Diamonds , 5 of Diamonds , 1110 , -1850
2 of Diamonds , 9 of Diamonds , 6 of Diamonds , 0 , 140
2 of Diamonds , 9 of Diamonds , 6 of Diamonds , 10 , 766
2 of Diamonds , 9 of Diamonds , 6 of Diamonds , 110 , -1258
2 of Diamonds , 9 of Diamonds , 6 of Diamonds , 1110 , -1820
2 of Diamonds , 9 of Diamonds , 7 of Diamonds , 0 , 294
2 of Diamonds , 9 of Diamonds , 7 of Diamonds , 10 , 818
2 of Diamonds , 9 of Diamonds , 7 of Diamonds , 110 , -1252
2 of Diamonds , 9 of Diamonds , 7 of Diamonds , 1110 , -1802
2 of Diamonds , 9 of Diamonds , 8 of Diamonds , 0 , 484
2 of Diamonds , 9 of Diamonds , 8 of Diamonds , 10 , 964
2 of Diamonds , 9 of Diamonds , 8 of Diamonds , 110 , -1180
2 of Diamonds , 9 of Diamonds , 8 of Diamonds , 1110 , -1820
2 of Diamonds , 9 of Diamonds , 9 of Clubs , 0 , 528
2 of Diamonds , 9 of Diamonds , 9 of Clubs , 10 , 768
2 of Diamonds , 9 of Diamonds , 9 of Clubs , 110 , -856
2 of Diamonds , 9 of Diamonds , 9 of Clubs , 1110 , -1316
2 of Diamonds , 9 of Diamonds , 10 of Diamonds , 0 , 3424
2 of Diamonds , 9 of Diamonds , 10 of Diamonds , 10 , 4636
2 of Diamonds , 9 of Diamonds , 10 of Diamonds , 110 , -4388
2 of Diamonds , 9 of Diamonds , 10 of Diamonds , 1110 , -7218
2 of Diamonds , 9 of Diamonds , A of Diamonds , 0 , -214
2 of Diamonds , 9 of Diamonds , A of Diamonds , 10 , 536
2 of Diamonds , 9 of Diamonds , A of Diamonds , 110 , -1358
2 of Diamonds , 9 of Diamonds , A of Diamonds , 1110 , -1854
2 of Diamonds , 10 of Diamonds , 2 of Clubs , 0 , 1126
2 of Diamonds , 10 of Diamonds , 2 of Clubs , 10 , -212
2 of Diamonds , 10 of Diamonds , 2 of Clubs , 110 , -4126
2 of Diamonds , 10 of Diamonds , 2 of Clubs , 1110 , -5628
2 of Diamonds , 10 of Diamonds , 3 of Diamonds , 0 , 1092
2 of Diamonds , 10 of Diamonds , 3 of Diamonds , 10 , -498
2 of Diamonds , 10 of Diamonds , 3 of Diamonds , 110 , -5674
2 of Diamonds , 10 of Diamonds , 3 of Diamonds , 1110 , -7460
2 of Diamonds , 10 of Diamonds , 4 of Diamonds , 0 , 868
2 of Diamonds , 10 of Diamonds , 4 of Diamonds , 10 , -624
2 of Diamonds , 10 of Diamonds , 4 of Diamonds , 110 , -5374
2 of Diamonds , 10 of Diamonds , 4 of Diamonds , 1110 , -7512
2 of Diamonds , 10 of Diamonds , 5 of Diamonds , 0 , 984
2 of Diamonds , 10 of Diamonds , 5 of Diamonds , 10 , -632
2 of Diamonds , 10 of Diamonds , 5 of Diamonds , 110 , -5554
2 of Diamonds , 10 of Diamonds , 5 of Diamonds , 1110 , -7414
2 of Diamonds , 10 of Diamonds , 6 of Diamonds , 0 , 502
2 of Diamonds , 10 of Diamonds , 6 of Diamonds , 10 , -700
2 of Diamonds , 10 of Diamonds , 6 of Diamonds , 110 , -5494
2 of Diamonds , 10 of Diamonds , 6 of Diamonds , 1110 , -7406
2 of Diamonds , 10 of Diamonds , 7 of Diamonds , 0 , 926
2 of Diamonds , 10 of Diamonds , 7 of Diamonds , 10 , -616
2 of Diamonds , 10 of Diamonds , 7 of Diamonds , 110 , -5392
2 of Diamonds , 10 of Diamonds , 7 of Diamonds , 1110 , -7438
2 of Diamonds , 10 of Diamonds , 8 of Diamonds , 0 , 1926
2 of Diamonds , 10 of Diamonds , 8 of Diamonds , 10 , -384
2 of Diamonds , 10 of Diamonds , 8 of Diamonds , 110 , -5272
2 of Diamonds , 10 of Diamonds , 8 of Diamonds , 1110 , -7408
2 of Diamonds , 10 of Diamonds , 9 of Diamonds , 0 , 2662
2 of Diamonds , 10 of Diamonds , 9 of Diamonds , 10 , 34
2 of Diamonds , 10 of Diamonds , 9 of Diamonds , 110 , -5114
2 of Diamonds , 10 of Diamonds , 9 of Diamonds , 1110 , -7406
2 of Diamonds , 10 of Diamonds , J of Diamonds , 0 , 12458
2 of Diamonds , 10 of Diamonds , J of Diamonds , 10 , 2718
2 of Diamonds , 10 of Diamonds , J of Diamonds , 110 , -19014
2 of Diamonds , 10 of Diamonds , J of Diamonds , 1110 , -27708
2 of Diamonds , 10 of Diamonds , A of Diamonds , 0 , -836
2 of Diamonds , 10 of Diamonds , A of Diamonds , 10 , -1704
2 of Diamonds , 10 of Diamonds , A of Diamonds , 110 , -5940
2 of Diamonds , 10 of Diamonds , A of Diamonds , 1110 , -7570
2 of Diamonds , A of Clubs , 2 of Clubs , 0 , 148
2 of Diamonds , A of Clubs , 2 of Clubs , 10 , 286
2 of Diamonds , A of Clubs , 2 of Clubs , 110 , 106
2 of Diamonds , A of Clubs , 2 of Clubs , 1110 , -502
2 of Diamonds , A of Clubs , 3 of Diamonds , 0 , 176
2 of Diamonds , A of Clubs , 3 of Diamonds , 10 , 364
2 of Diamonds , A of Clubs , 3 of Diamonds , 110 , 186
2 of Diamonds , A of Clubs , 3 of Diamonds , 1110 , -562
2 of Diamonds , A of Clubs , 4 of Diamonds , 0 , 84
2 of Diamonds , A of Clubs , 4 of Diamonds , 10 , 326
2 of Diamonds , A of Clubs , 4 of Diamonds , 110 , 142
2 of Diamonds , A of Clubs , 4 of Diamonds , 1110 , -588
2 of Diamonds , A of Clubs , 5 of Diamonds , 0 , 146
2 of Diamonds , A of Clubs , 5 of Diamonds , 10 , 266
2 of Diamonds , A of Clubs , 5 of Diamonds , 110 , 114
2 of Diamonds , A of Clubs , 5 of Diamonds , 1110 , -576
2 of Diamonds , A of Clubs , 6 of Diamonds , 0 , 82
2 of Diamonds , A of Clubs , 6 of Diamonds , 10 , 288
2 of Diamonds , A of Clubs , 6 of Diamonds , 110 , 14
2 of Diamonds , A of Clubs , 6 of Diamonds , 1110 , -564
2 of Diamonds , A of Clubs , 7 of Diamonds , 0 , 130
2 of Diamonds , A of Clubs , 7 of Diamonds , 10 , 268
2 of Diamonds , A of Clubs , 7 of Diamonds , 110 , 162
2 of Diamonds , A of Clubs , 7 of Diamonds , 1110 , -570
2 of Diamonds , A of Clubs , 8 of Diamonds , 0 , 312
2 of Diamonds , A of Clubs , 8 of Diamonds , 10 , 434
2 of Diamonds , A of Clubs , 8 of Diamonds , 110 , 202
2 of Diamonds , A of Clubs , 8 of Diamonds , 1110 , -520
