User Card 1 , User Card 2, Dealer Card, Choice, Frequency
2 of Hearts , 3 of Diamonds , 4 of Hearts , 110 , -1834
2 of Hearts , 3 of Diamonds , 4 of Hearts , 1110 , -16542
2 of Hearts , 3 of Diamonds , 5 of Hearts , 0 , -346
2 of Hearts , 3 of Diamonds , 5 of Hearts , 10 , -440
2 of Hearts , 3 of Diamonds , 5 of Hearts , 110 , -1132
2 of Hearts , 3 of Diamonds , 5 of Hearts , 1110 , -4798
2 of Hearts , 3 of Diamonds , 6 of Hearts , 0 , 692
2 of Hearts , 3 of Diamonds , 6 of Hearts , 10 , 610
2 of Hearts , 3 of Diamonds , 6 of Hearts , 110 , -1608
2 of Hearts , 3 of Diamonds , 6 of Hearts , 1110 , -11774
2 of Hearts , 3 of Diamonds , 7 of Hearts , 0 , 5644
2 of Hearts , 3 of Diamonds , 7 of Hearts , 10 , 5546
2 of Hearts , 3 of Diamonds , 7 of Hearts , 110 , -230
2 of Hearts , 3 of Diamonds , 7 of Hearts , 1110 , -20082
2 of Hearts , 3 of Diamonds , 8 of Hearts , 0 , 11796
2 of Hearts , 3 of Diamonds , 8 of Hearts , 10 , 11834
2 of Hearts , 3 of Diamonds , 8 of Hearts , 110 , 1872
2 of Hearts , 3 of Diamonds , 8 of Hearts , 1110 , -26980
2 of Hearts , 3 of Diamonds , 9 of Hearts , 0 , 12504
2 of Hearts , 3 of Diamonds , 9 of Hearts , 10 , 12240
2 of Hearts , 3 of Diamonds , 9 of Hearts , 110 , 2976
2 of Hearts , 3 of Diamonds , 9 of Hearts , 1110 , -20458
2 of Hearts , 3 of Diamonds , 10 of Diamonds , 0 , 53884
2 of Hearts , 3 of Diamonds , 10 of Diamonds , 10 , 54002
2 of Hearts , 3 of Diamonds , 10 of Diamonds , 110 , 17770
2 of Hearts , 3 of Diamonds , 10 of Diamonds , 1110 , -71110
2 of Hearts , 3 of Diamonds , A of Clubs , 0 , -3468
2 of Hearts , 3 of Diamonds , A of Clubs , 10 , -3142
2 of Hearts , 3 of Diamonds , A of Clubs , 110 , -6824
2 of Hearts , 3 of Diamonds , A of Clubs , 1110 , -27136
2 of Hearts , 4 of Diamonds , 2 of Clubs , 0 , 6166
2 of Hearts , 4 of Diamonds , 2 of Clubs , 10 , 6692
2 of Hearts , 4 of Diamonds , 2 of Clubs , 110 , -2684
2 of Hearts , 4 of Diamonds , 2 of Clubs , 1110 , -26620
2 of Hearts , 4 of Diamonds , 3 of Spades , 0 , 13652
2 of Hearts , 4 of Diamonds , 3 of Spades , 10 , 14000
2 of Hearts , 4 of Diamonds , 3 of Spades , 110 , -9590
2 of Hearts , 4 of Diamonds , 3 of Spades , 1110 , -64184
2 of Hearts , 4 of Diamonds , 4 of Hearts , 0 , 5646
2 of Hearts , 4 of Diamonds , 4 of Hearts , 10 , 5508
2 of Hearts , 4 of Diamonds , 4 of Hearts , 110 , -8222
2 of Hearts , 4 of Diamonds , 4 of Hearts , 1110 , -41882
2 of Hearts , 4 of Diamonds , 5 of Hearts , 0 , -790
2 of Hearts , 4 of Diamonds , 5 of Hearts , 10 , -782
2 of Hearts , 4 of Diamonds , 5 of Hearts , 110 , -4184
2 of Hearts , 4 of Diamonds , 5 of Hearts , 1110 , -12860
2 of Hearts , 4 of Diamonds , 6 of Hearts , 0 , 2368
2 of Hearts , 4 of Diamonds , 6 of Hearts , 10 , 2270
2 of Hearts , 4 of Diamonds , 6 of Hearts , 110 , -7198
2 of Hearts , 4 of Diamonds , 6 of Hearts , 1110 , -33954
2 of Hearts , 4 of Diamonds , 7 of Hearts , 0 , 14728
2 of Hearts , 4 of Diamonds , 7 of Hearts , 10 , 15064
2 of Hearts , 4 of Diamonds , 7 of Hearts , 110 , -7336
2 of Hearts , 4 of Diamonds , 7 of Hearts , 1110 , -58766
2 of Hearts , 4 of Diamonds , 8 of Hearts , 0 , 28428
2 of Hearts , 4 of Diamonds , 8 of Hearts , 10 , 28584
2 of Hearts , 4 of Diamonds , 8 of Hearts , 110 , -8184
2 of Hearts , 4 of Diamonds , 8 of Hearts , 1110 , -79894
2 of Hearts , 4 of Diamonds , 9 of Hearts , 0 , 32336
2 of Hearts , 4 of Diamonds , 9 of Hearts , 10 , 32286
2 of Hearts , 4 of Diamonds , 9 of Hearts , 110 , -1188
2 of Hearts , 4 of Diamonds , 9 of Hearts , 1110 , -61664
2 of Hearts , 4 of Diamonds , 10 of Diamonds , 0 , 143970
2 of Hearts , 4 of Diamonds , 10 of Diamonds , 10 , 144570
2 of Hearts , 4 of Diamonds , 10 of Diamonds , 110 , 14620
2 of Hearts , 4 of Diamonds , 10 of Diamonds , 1110 , -215114
2 of Hearts , 4 of Diamonds , A of Clubs , 0 , -9922
2 of Hearts , 4 of Diamonds , A of Clubs , 10 , -9752
2 of Hearts , 4 of Diamonds , A of Clubs , 110 , -24502
2 of Hearts , 4 of Diamonds , A of Clubs , 1110 , -77780
2 of Hearts , 5 of Hearts , 2 of Clubs , 0 , 15390
2 of Hearts , 5 of Hearts , 2 of Clubs , 10 , 16606
2 of Hearts , 5 of Hearts , 2 of Clubs , 110 , -9556
2 of Hearts , 5 of Hearts , 2 of Clubs , 1110 , -55022
2 of Hearts , 5 of Hearts , 3 of Spades , 0 , 26862
2 of Hearts , 5 of Hearts , 3 of Spades , 10 , 29538
2 of Hearts , 5 of Hearts , 3 of Spades , 110 , -28294
2 of Hearts , 5 of Hearts , 3 of Spades , 1110 , -130314
2 of Hearts , 5 of Hearts , 4 of Hearts , 0 , 12220
2 of Hearts , 5 of Hearts , 4 of Hearts , 10 , 14204
2 of Hearts , 5 of Hearts , 4 of Hearts , 110 , -26294
2 of Hearts , 5 of Hearts , 4 of Hearts , 1110 , -95980
2 of Hearts , 5 of Hearts , 5 of Spades , 0 , -400
2 of Hearts , 5 of Hearts , 5 of Spades , 10 , -256
2 of Hearts , 5 of Hearts , 5 of Spades , 110 , -6096
2 of Hearts , 5 of Hearts , 5 of Spades , 1110 , -18374
2 of Hearts , 5 of Hearts , 6 of Hearts , 0 , 5956
2 of Hearts , 5 of Hearts , 6 of Hearts , 10 , 5678
2 of Hearts , 5 of Hearts , 6 of Hearts , 110 , -18096
2 of Hearts , 5 of Hearts , 6 of Hearts , 1110 , -67762
2 of Hearts , 5 of Hearts , 7 of Hearts , 0 , 23478
2 of Hearts , 5 of Hearts , 7 of Hearts , 10 , 24750
2 of Hearts , 5 of Hearts , 7 of Hearts , 110 , -27008
2 of Hearts , 5 of Hearts , 7 of Hearts , 1110 , -120780
2 of Hearts , 5 of Hearts , 8 of Hearts , 0 , 53398
2 of Hearts , 5 of Hearts , 8 of Hearts , 10 , 55602
2 of Hearts , 5 of Hearts , 8 of Hearts , 110 , -29188
2 of Hearts , 5 of Hearts , 8 of Hearts , 1110 , -163618
2 of Hearts , 5 of Hearts , 9 of Hearts , 0 , 61584
2 of Hearts , 5 of Hearts , 9 of Hearts , 10 , 62338
2 of Hearts , 5 of Hearts , 9 of Hearts , 110 , -15068
2 of Hearts , 5 of Hearts , 9 of Hearts , 1110 , -126264
2 of Hearts , 5 of Hearts , 10 of Diamonds , 0 , 268728
2 of Hearts , 5 of Hearts , 10 of Diamonds , 10 , 274324
2 of Hearts , 5 of Hearts , 10 of Diamonds , 110 , -26640
2 of Hearts , 5 of Hearts , 10 of Diamonds , 1110 , -444436
2 of Hearts , 5 of Hearts , A of Clubs , 0 , -19930
2 of Hearts , 5 of Hearts , A of Clubs , 10 , -17060
2 of Hearts , 5 of Hearts , A of Clubs , 110 , -57342
2 of Hearts , 5 of Hearts , A of Clubs , 1110 , -155382
2 of Hearts , 6 of Clubs , 2 of Clubs , 0 , 8130
2 of Hearts , 6 of Clubs , 2 of Clubs , 10 , 12902
2 of Hearts , 6 of Clubs , 2 of Clubs , 110 , -8976
2 of Hearts , 6 of Clubs , 2 of Clubs , 1110 , -30846
2 of Hearts , 6 of Clubs , 3 of Spades , 0 , 15394
2 of Hearts , 6 of Clubs , 3 of Spades , 10 , 24570
2 of Hearts , 6 of Clubs , 3 of Spades , 110 , -23350
2 of Hearts , 6 of Clubs , 3 of Spades , 1110 , -74332
2 of Hearts , 6 of Clubs , 4 of Hearts , 0 , 6970
2 of Hearts , 6 of Clubs , 4 of Hearts , 10 , 12862
2 of Hearts , 6 of Clubs , 4 of Hearts , 110 , -18046
2 of Hearts , 6 of Clubs , 4 of Hearts , 1110 , -55226
2 of Hearts , 6 of Clubs , 5 of Hearts , 0 , -308
2 of Hearts , 6 of Clubs , 5 of Hearts , 10 , 1166
2 of Hearts , 6 of Clubs , 5 of Hearts , 110 , -5280
2 of Hearts , 6 of Clubs , 5 of Hearts , 1110 , -13712
2 of Hearts , 6 of Clubs , 6 of Hearts , 0 , 1302
2 of Hearts , 6 of Clubs , 6 of Hearts , 10 , 4568
2 of Hearts , 6 of Clubs , 6 of Hearts , 110 , -12856
2 of Hearts , 6 of Clubs , 6 of Hearts , 1110 , -35024
2 of Hearts , 6 of Clubs , 7 of Hearts , 0 , 12718
2 of Hearts , 6 of Clubs , 7 of Hearts , 10 , 17808
2 of Hearts , 6 of Clubs , 7 of Hearts , 110 , -22708
2 of Hearts , 6 of Clubs , 7 of Hearts , 1110 , -69464
2 of Hearts , 6 of Clubs , 8 of Hearts , 0 , 28586
2 of Hearts , 6 of Clubs , 8 of Hearts , 10 , 34728
2 of Hearts , 6 of Clubs , 8 of Hearts , 110 , -27028
2 of Hearts , 6 of Clubs , 8 of Hearts , 1110 , -94168
2 of Hearts , 6 of Clubs , 9 of Hearts , 0 , 32154
2 of Hearts , 6 of Clubs , 9 of Hearts , 10 , 36312
2 of Hearts , 6 of Clubs , 9 of Hearts , 110 , -18016
2 of Hearts , 6 of Clubs , 9 of Hearts , 1110 , -73268
2 of Hearts , 6 of Clubs , 10 of Diamonds , 0 , 145176
2 of Hearts , 6 of Clubs , 10 of Diamonds , 10 , 157438
2 of Hearts , 6 of Clubs , 10 of Diamonds , 110 , -50292
2 of Hearts , 6 of Clubs , 10 of Diamonds , 1110 , -259046
2 of Hearts , 6 of Clubs , A of Clubs , 0 , -7400
2 of Hearts , 6 of Clubs , A of Clubs , 10 , 1012
2 of Hearts , 6 of Clubs , A of Clubs , 110 , -38958
2 of Hearts , 6 of Clubs , A of Clubs , 1110 , -87440
2 of Hearts , 7 of Clubs , 2 of Clubs , 0 , 5158
2 of Hearts , 7 of Clubs , 2 of Clubs , 10 , 10496
2 of Hearts , 7 of Clubs , 2 of Clubs , 110 , -8172
2 of Hearts , 7 of Clubs , 2 of Clubs , 1110 , -20102
2 of Hearts , 7 of Clubs , 3 of Spades , 0 , 9628
2 of Hearts , 7 of Clubs , 3 of Spades , 10 , 21142
2 of Hearts , 7 of Clubs , 3 of Spades , 110 , -20508
2 of Hearts , 7 of Clubs , 3 of Spades , 1110 , -49374
2 of Hearts , 7 of Clubs , 4 of Hearts , 0 , 4294
2 of Hearts , 7 of Clubs , 4 of Hearts , 10 , 12160
2 of Hearts , 7 of Clubs , 4 of Hearts , 110 , -16216
2 of Hearts , 7 of Clubs , 4 of Hearts , 1110 , -36730
2 of Hearts , 7 of Clubs , 5 of Hearts , 0 , -452
2 of Hearts , 7 of Clubs , 5 of Hearts , 10 , 1284
2 of Hearts , 7 of Clubs , 5 of Hearts , 110 , -5256
2 of Hearts , 7 of Clubs , 5 of Hearts , 1110 , -10152
2 of Hearts , 7 of Clubs , 6 of Hearts , 0 , 894
2 of Hearts , 7 of Clubs , 6 of Hearts , 10 , 5940
2 of Hearts , 7 of Clubs , 6 of Hearts , 110 , -12448
2 of Hearts , 7 of Clubs , 6 of Hearts , 1110 , -26210
2 of Hearts , 7 of Clubs , 7 of Hearts , 0 , 6692
2 of Hearts , 7 of Clubs , 7 of Hearts , 10 , 13166
2 of Hearts , 7 of Clubs , 7 of Hearts , 110 , -17814
2 of Hearts , 7 of Clubs , 7 of Hearts , 1110 , -39864
2 of Hearts , 7 of Clubs , 8 of Hearts , 0 , 17872
2 of Hearts , 7 of Clubs , 8 of Hearts , 10 , 25396
2 of Hearts , 7 of Clubs , 8 of Hearts , 110 , -26064
2 of Hearts , 7 of Clubs , 8 of Hearts , 1110 , -62184
2 of Hearts , 7 of Clubs , 9 of Hearts , 0 , 20690
2 of Hearts , 7 of Clubs , 9 of Hearts , 10 , 25850
2 of Hearts , 7 of Clubs , 9 of Hearts , 110 , -18578
2 of Hearts , 7 of Clubs , 9 of Hearts , 1110 , -48912
2 of Hearts , 7 of Clubs , 10 of Diamonds , 0 , 88072
2 of Hearts , 7 of Clubs , 10 of Diamonds , 10 , 105932
2 of Hearts , 7 of Clubs , 10 of Diamonds , 110 , -60002
2 of Hearts , 7 of Clubs , 10 of Diamonds , 1110 , -173810
2 of Hearts , 7 of Clubs , A of Clubs , 0 , -5336
2 of Hearts , 7 of Clubs , A of Clubs , 10 , 6286
2 of Hearts , 7 of Clubs , A of Clubs , 110 , -30656
2 of Hearts , 7 of Clubs , A of Clubs , 1110 , -57216
2 of Hearts , 9 of Clubs , 2 of Clubs , 0 , 6800
2 of Hearts , 9 of Clubs , 2 of Clubs , 10 , 15750
2 of Hearts , 9 of Clubs , 2 of Clubs , 110 , -17308
2 of Hearts , 9 of Clubs , 2 of Clubs , 1110 , -26390
2 of Hearts , 9 of Clubs , 3 of Spades , 0 , 10498
2 of Hearts , 9 of Clubs , 3 of Spades , 10 , 32430
2 of Hearts , 9 of Clubs , 3 of Spades , 110 , -42788
2 of Hearts , 9 of Clubs , 3 of Spades , 1110 , -63010
2 of Hearts , 9 of Clubs , 4 of Hearts , 0 , 4132
2 of Hearts , 9 of Clubs , 4 of Hearts , 10 , 21062
2 of Hearts , 9 of Clubs , 4 of Hearts , 110 , -32426
2 of Hearts , 9 of Clubs , 4 of Hearts , 1110 , -46924
2 of Hearts , 9 of Clubs , 5 of Hearts , 0 , -956
2 of Hearts , 9 of Clubs , 5 of Hearts , 10 , 3554
2 of Hearts , 9 of Clubs , 5 of Hearts , 110 , -8796
2 of Hearts , 9 of Clubs , 5 of Hearts , 1110 , -12152
2 of Hearts , 9 of Clubs , 6 of Hearts , 0 , 902
2 of Hearts , 9 of Clubs , 6 of Hearts , 10 , 12470
2 of Hearts , 9 of Clubs , 6 of Hearts , 110 , -23312
2 of Hearts , 9 of Clubs , 6 of Hearts , 1110 , -33132
2 of Hearts , 9 of Clubs , 7 of Hearts , 0 , 9400
2 of Hearts , 9 of Clubs , 7 of Hearts , 10 , 27654
2 of Hearts , 9 of Clubs , 7 of Hearts , 110 , -40602
2 of Hearts , 9 of Clubs , 7 of Hearts , 1110 , -59276
2 of Hearts , 9 of Clubs , 8 of Hearts , 0 , 20862
2 of Hearts , 9 of Clubs , 8 of Hearts , 10 , 41148
2 of Hearts , 9 of Clubs , 8 of Hearts , 110 , -54002
2 of Hearts , 9 of Clubs , 8 of Hearts , 1110 , -80740
2 of Hearts , 9 of Clubs , 9 of Hearts , 0 , 21870
2 of Hearts , 9 of Clubs , 9 of Hearts , 10 , 34152
2 of Hearts , 9 of Clubs , 9 of Hearts , 110 , -37804
2 of Hearts , 9 of Clubs , 9 of Hearts , 1110 , -58820
2 of Hearts , 9 of Clubs , 10 of Diamonds , 0 , 100792
2 of Hearts , 9 of Clubs , 10 of Diamonds , 10 , 143892
2 of Hearts , 9 of Clubs , 10 of Diamonds , 110 , -141684
2 of Hearts , 9 of Clubs , 10 of Diamonds , 1110 , -226684
2 of Hearts , 9 of Clubs , A of Clubs , 0 , -6342
2 of Hearts , 9 of Clubs , A of Clubs , 10 , 20422
2 of Hearts , 9 of Clubs , A of Clubs , 110 , -53296
2 of Hearts , 9 of Clubs , A of Clubs , 1110 , -72162
2 of Hearts , Q of Spades , 2 of Clubs , 0 , 16652
2 of Hearts , Q of Spades , 2 of Clubs , 10 , 460
2 of Hearts , Q of Spades , 2 of Clubs , 110 , -51990
2 of Hearts , Q of Spades , 2 of Clubs , 1110 , -71586
2 of Hearts , Q of Spades , 3 of Spades , 0 , 27372
2 of Hearts , Q of Spades , 3 of Spades , 10 , -7276
2 of Hearts , Q of Spades , 3 of Spades , 110 , -126778
2 of Hearts , Q of Spades , 3 of Spades , 1110 , -172640
2 of Hearts , Q of Spades , 4 of Hearts , 0 , 10986
2 of Hearts , Q of Spades , 4 of Hearts , 10 , -12634
2 of Hearts , Q of Spades , 4 of Hearts , 110 , -94786
2 of Hearts , Q of Spades , 4 of Hearts , 1110 , -127824
2 of Hearts , Q of Spades , 5 of Hearts , 0 , -2338
2 of Hearts , Q of Spades , 5 of Hearts , 10 , -6790
2 of Hearts , Q of Spades , 5 of Hearts , 110 , -24856
2 of Hearts , Q of Spades , 5 of Hearts , 1110 , -32264
2 of Hearts , Q of Spades , 6 of Hearts , 0 , 2538
2 of Hearts , Q of Spades , 6 of Hearts , 10 , -12888
2 of Hearts , Q of Spades , 6 of Hearts , 110 , -67962
2 of Hearts , Q of Spades , 6 of Hearts , 1110 , -90574
2 of Hearts , Q of Spades , 7 of Hearts , 0 , 23128
2 of Hearts , Q of Spades , 7 of Hearts , 10 , -15288
2 of Hearts , Q of Spades , 7 of Hearts , 110 , -119090
2 of Hearts , Q of Spades , 7 of Hearts , 1110 , -162128
2 of Hearts , Q of Spades , 8 of Hearts , 0 , 53890
2 of Hearts , Q of Spades , 8 of Hearts , 10 , -10760
2 of Hearts , Q of Spades , 8 of Hearts , 110 , -159116
2 of Hearts , Q of Spades , 8 of Hearts , 1110 , -220908
2 of Hearts , Q of Spades , 9 of Hearts , 0 , 60654
2 of Hearts , Q of Spades , 9 of Hearts , 10 , 1262
2 of Hearts , Q of Spades , 9 of Hearts , 110 , -122292
2 of Hearts , Q of Spades , 9 of Hearts , 1110 , -174190
2 of Hearts , Q of Spades , 10 of Diamonds , 0 , 260012
2 of Hearts , Q of Spades , 10 of Diamonds , 10 , 55958
2 of Hearts , Q of Spades , 10 of Diamonds , 110 , -423156
2 of Hearts , Q of Spades , 10 of Diamonds , 1110 , -610434
2 of Hearts , Q of Spades , A of Clubs , 0 , -15698
2 of Hearts , Q of Spades , A of Clubs , 10 , -41166
2 of Hearts , Q of Spades , A of Clubs , 110 , -151932
2 of Hearts , Q of Spades , A of Clubs , 1110 , -195582
2 of Hearts , A of Spades , 2 of Clubs , 0 , 3186
2 of Hearts , A of Spades , 2 of Clubs , 10 , 5490
2 of Hearts , A of Spades , 2 of Clubs , 110 , 2984
2 of Hearts , A of Spades , 2 of Clubs , 1110 , -6646
2 of Hearts , A of Spades , 3 of Spades , 0 , 5788
2 of Hearts , A of Spades , 3 of Spades , 10 , 11132
2 of Hearts , A of Spades , 3 of Spades , 110 , 5498
2 of Hearts , A of Spades , 3 of Spades , 1110 , -16958
2 of Hearts , A of Spades , 4 of Hearts , 0 , 2438
2 of Hearts , A of Spades , 4 of Hearts , 10 , 5998
2 of Hearts , A of Spades , 4 of Hearts , 110 , 2598
2 of Hearts , A of Spades , 4 of Hearts , 1110 , -13112
2 of Hearts , A of Spades , 5 of Hearts , 0 , -380
2 of Hearts , A of Spades , 5 of Hearts , 10 , 544
2 of Hearts , A of Spades , 5 of Hearts , 110 , -152
2 of Hearts , A of Spades , 5 of Hearts , 1110 , -3874
2 of Hearts , A of Spades , 6 of Hearts , 0 , 1044
2 of Hearts , A of Spades , 6 of Hearts , 10 , 3218
2 of Hearts , A of Spades , 6 of Hearts , 110 , 496
2 of Hearts , A of Spades , 6 of Hearts , 1110 , -9542
2 of Hearts , A of Spades , 7 of Hearts , 0 , 5356
2 of Hearts , A of Spades , 7 of Hearts , 10 , 9284
2 of Hearts , A of Spades , 7 of Hearts , 110 , 3602
2 of Hearts , A of Spades , 7 of Hearts , 1110 , -16050
2 of Hearts , A of Spades , 8 of Hearts , 0 , 11334
2 of Hearts , A of Spades , 8 of Hearts , 10 , 15566
2 of Hearts , A of Spades , 8 of Hearts , 110 , 7372
2 of Hearts , A of Spades , 8 of Hearts , 1110 , -20350
2 of Hearts , A of Spades , 9 of Hearts , 0 , 12666
2 of Hearts , A of Spades , 9 of Hearts , 10 , 15940
2 of Hearts , A of Spades , 9 of Hearts , 110 , 9036
2 of Hearts , A of Spades , 9 of Hearts , 1110 , -14842
2 of Hearts , A of Spades , 10 of Diamonds , 0 , 57166
2 of Hearts , A of Spades , 10 of Diamonds , 10 , 65780
2 of Hearts , A of Spades , 10 of Diamonds , 110 , 40662
2 of Hearts , A of Spades , 10 of Diamonds , 1110 , -49700
2 of Hearts , A of Spades , A of Clubs , 0 , -3616
2 of Hearts , A of Spades , A of Clubs , 10 , 2192
2 of Hearts , A of Spades , A of Clubs , 110 , -2068
2 of Hearts , A of Spades , A of Clubs , 1110 , -19570
3 of Spades , 2 of Hearts , 2 of Clubs , 0 , 13126
3 of Spades , 2 of Hearts , 2 of Clubs , 10 , 13272
3 of Spades , 2 of Hearts , 2 of Clubs , 110 , 2080
3 of Spades , 2 of Hearts , 2 of Clubs , 1110 , -42844
3 of Spades , 2 of Hearts , 3 of Clubs , 0 , 13990
3 of Spades , 2 of Hearts , 3 of Clubs , 10 , 13982
3 of Spades , 2 of Hearts , 3 of Clubs , 110 , -1560
3 of Spades , 2 of Hearts , 3 of Clubs , 1110 , -69298
3 of Spades , 2 of Hearts , 4 of Hearts , 0 , 8544
3 of Spades , 2 of Hearts , 4 of Hearts , 10 , 8800
3 of Spades , 2 of Hearts , 4 of Hearts , 110 , -7312
3 of Spades , 2 of Hearts , 4 of Hearts , 1110 , -73922
3 of Spades , 2 of Hearts , 5 of Hearts , 0 , -1300
3 of Spades , 2 of Hearts , 5 of Hearts , 10 , -1518
3 of Spades , 2 of Hearts , 5 of Hearts , 110 , -4988
3 of Spades , 2 of Hearts , 5 of Hearts , 1110 , -20210
3 of Spades , 2 of Hearts , 6 of Hearts , 0 , 3014
3 of Spades , 2 of Hearts , 6 of Hearts , 10 , 2842
3 of Spades , 2 of Hearts , 6 of Hearts , 110 , -8430
3 of Spades , 2 of Hearts , 6 of Hearts , 1110 , -51850
3 of Spades , 2 of Hearts , 7 of Hearts , 0 , 23204
3 of Spades , 2 of Hearts , 7 of Hearts , 10 , 22798
3 of Spades , 2 of Hearts , 7 of Hearts , 110 , -2564
3 of Spades , 2 of Hearts , 7 of Hearts , 1110 , -89040
3 of Spades , 2 of Hearts , 8 of Hearts , 0 , 50258
3 of Spades , 2 of Hearts , 8 of Hearts , 10 , 50252
3 of Spades , 2 of Hearts , 8 of Hearts , 110 , 7466
3 of Spades , 2 of Hearts , 8 of Hearts , 1110 , -116150
3 of Spades , 2 of Hearts , 9 of Hearts , 0 , 53114
3 of Spades , 2 of Hearts , 9 of Hearts , 10 , 53264
3 of Spades , 2 of Hearts , 9 of Hearts , 110 , 13158
3 of Spades , 2 of Hearts , 9 of Hearts , 1110 , -89932
3 of Spades , 2 of Hearts , 10 of Diamonds , 0 , 237484
3 of Spades , 2 of Hearts , 10 of Diamonds , 10 , 236918
3 of Spades , 2 of Hearts , 10 of Diamonds , 110 , 78716
3 of Spades , 2 of Hearts , 10 of Diamonds , 1110 , -313944
3 of Spades , 2 of Hearts , A of Clubs , 0 , -14662
3 of Spades , 2 of Hearts , A of Clubs , 10 , -14452
3 of Spades , 2 of Hearts , A of Clubs , 110 , -29630
3 of Spades , 2 of Hearts , A of Clubs , 1110 , -118662
3 of Spades , 3 of Clubs , 2 of Hearts , 0 , 8348
3 of Spades , 3 of Clubs , 2 of Hearts , 10 , 7984
3 of Spades , 3 of Clubs , 2 of Hearts , 110 , -2656
3 of Spades , 3 of Clubs , 2 of Hearts , 1110 , -29266
3 of Spades , 3 of Clubs , 3 of Hearts , 0 , 5048
3 of Spades , 3 of Clubs , 3 of Hearts , 10 , 4992
3 of Spades , 3 of Clubs , 3 of Hearts , 110 , -3764
3 of Spades , 3 of Clubs , 3 of Hearts , 1110 , -24728
3 of Spades , 3 of Clubs , 4 of Hearts , 0 , 5430
3 of Spades , 3 of Clubs , 4 of Hearts , 10 , 5284
3 of Spades , 3 of Clubs , 4 of Hearts , 110 , -7352
3 of Spades , 3 of Clubs , 4 of Hearts , 1110 , -37080
3 of Spades , 3 of Clubs , 5 of Hearts , 0 , -794
3 of Spades , 3 of Clubs , 5 of Hearts , 10 , -618
3 of Spades , 3 of Clubs , 5 of Hearts , 110 , -3258
